fecha,nombre_dia,dia,dias_mes,avance_ratio
01/09/2021,Miercoles,1,22,22
02/09/2021,Jueves,2,22,11
03/09/2021,Viernes,3,22,7.333333333
04/09/2021,Sabado,3,22,7.333333333
05/09/2021,Domingo,3,22,7.333333333
06/09/2021,Lunes,4,22,5.5
07/09/2021,Martes,5,22,4.4
08/09/2021,Miércoles,6,22,3.666666667
09/09/2021,Jueves,7,22,3.142857143
10/09/2021,Viernes,8,22,2.75
11/09/2021,Sábado,8,22,2.75
12/09/2021,Domingo,8,22,2.75
13/09/2021,Lunes,9,22,2.444444444
14/09/2021,Martes,10,22,2.2
15/09/2021,Miércoles,11,22,2
16/09/2021,Jueves,12,22,1.833333333
17/09/2021,Viernes,13,22,1.692307692
18/09/2021,Sábado,13,22,1.692307692
19/09/2021,Domingo,13,22,1.692307692
20/09/2021,Lunes,14,22,1.571428571
21/09/2021,Martes,15,22,1.466666667
22/09/2021,Miércoles,16,22,1.375
23/09/2021,Jueves,17,22,1.294117647
24/09/2021,Viernes,18,22,1.222222222
25/09/2021,Sábado,18,22,1.222222222
26/09/2021,Domingo,18,22,1.222222222
27/09/2021,Lunes,19,22,1.157894737
28/09/2021,Martes,20,22,1.1
29/09/2021,Miércoles,21,22,1.047619048
30/09/2021,Jueves,22,22,1
01/10/2021,Viernes,1,20,20
02/10/2021,Sábado,1,20,20
03/10/2021,Domingo,1,20,20
04/10/2021,Lunes,2,20,10
05/10/2021,Martes,3,20,6.666666667
06/10/2021,Miércoles,4,20,5
07/10/2021,Jueves,5,20,4
08/10/2021,Viernes,5,20,4
09/10/2021,Sábado,5,20,4
10/10/2021,Domingo,5,20,4
11/10/2021,Lunes,6,20,3.333333333
12/10/2021,Martes,7,20,2.857142857
13/10/2021,Miércoles,8,20,2.5
14/10/2021,Jueves,9,20,2.222222222
15/10/2021,Viernes,10,20,2
16/10/2021,Sábado,10,20,2
17/10/2021,Domingo,10,20,2
18/10/2021,Lunes,11,20,1.818181818
19/10/2021,Martes,12,20,1.666666667
20/10/2021,Miércoles,13,20,1.538461538
21/10/2021,Jueves,14,20,1.428571429
22/10/2021,Viernes,15,20,1.333333333
23/10/2021,Sábado,15,20,1.333333333
24/10/2021,Domingo,15,20,1.333333333
25/10/2021,Lunes,16,20,1.25
26/10/2021,Martes,17,20,1.176470588
27/10/2021,Miércoles,18,20,1.111111111
28/10/2021,Jueves,19,20,1.052631579
29/10/2021,Viernes,20,20,1
30/10/2021,Sábado,20,20,1
31/10/2021,Domingo,20,20,1
01/11/2021,Lunes,1,21,21
02/11/2021,Martes,1,21,21
03/11/2021,Miércoles,2,21,10.5
04/11/2021,Jueves,3,21,7
05/11/2021,Viernes,4,21,5.25
06/11/2021,Sábado,4,21,5.25
07/11/2021,Domingo,4,21,5.25
08/11/2021,Lunes,5,21,4.2
09/11/2021,Martes,6,21,3.5
10/11/2021,Miércoles,7,21,3
11/11/2021,Jueves,8,21,2.625
12/11/2021,Viernes,9,21,2.333333333
